央视,#genre#
凤凰中文,http://183.207.248.170/ott.js.chinamobile.com/PLTV/3/224/3221226922/index.m3u8
凤凰资讯,http://223.110.235.4/ott.js.chinamobile.com/PLTV/3/224/3221228098/index.m3u8
凤凰资讯,http://183.207.249.143/ott.js.chinamobile.com/PLTV/3/224/3221226923/index.m3u8
凤凰香港,http://223.110.235.11/ott.js.chinamobile.com/PLTV/3/224/3221228060/index.m3u8
卫视,#genre#
东南卫视,http://223.110.235.24/ott.js.chinamobile.com/PLTV/3/224/3221227553/index.m3u8
东南卫视,http://223.110.245.150/ott.js.chinamobile.com/PLTV/3/224/3221227670/index.m3u8
东方卫视,http://183.207.248.136/ott.js.chinamobile.com/PLTV/3/224/3221227396/index.m3u8
东方卫视,http://223.110.235.24/ott.js.chinamobile.com/PLTV/3/224/3221227597/index.m3u8
东方卫视,http://223.110.235.10/ott.js.chinamobile.com/PLTV/3/224/3221227732/index.m3u8
东方卫视,http://223.110.245.164/ott.js.chinamobile.com/PLTV/3/224/3221227688/index.m3u8
东方卫视,http://223.110.235.26/ott.js.chinamobile.com/PLTV/3/224/3221228150/index.m3u8
东方卫视,http://223.110.235.6/ott.js.chinamobile.com/PLTV/3/224/3221227208/index.m3u8
东方卫视,http://183.207.249.135/ott.js.chinamobile.com/PLTV/3/224/3221227486/index.m3u8
东方卫视,http://183.207.248.144/ott.js.chinamobile.com/PLTV/3/224/3221227511/index.m3u8
云南卫视,http://223.110.236.27/ott.js.chinamobile.com/PLTV/3/224/3221228169/index.m3u8
北京卫视,http://183.207.249.143/ott.js.chinamobile.com/PLTV/3/224/3221227390/index.m3u8
北京卫视,http://223.110.235.18/ott.js.chinamobile.com/PLTV/3/224/3221227652/index.m3u8
北京卫视,http://223.110.235.3/ott.js.chinamobile.com/PLTV/3/224/3221227694/index.m3u8
北京卫视,http://223.110.235.18/ott.js.chinamobile.com/PLTV/3/224/3221228115/index.m3u8
北京卫视,http://223.110.235.14/ott.js.chinamobile.com/PLTV/3/224/3221227436/index.m3u8
北京卫视,http://183.207.249.170/ott.js.chinamobile.com/PLTV/3/224/3221225574/index.m3u8
天津卫视,http://183.207.249.142/ott.js.chinamobile.com/PLTV/3/224/3221227382/index.m3u8
天津卫视,http://223.110.235.6/ott.js.chinamobile.com/PLTV/3/224/3221227633/index.m3u8
天津卫视,http://223.110.245.157/ott.js.chinamobile.com/PLTV/3/224/3221227741/index.m3u8
天津卫视,http://223.110.245.146/ott.js.chinamobile.com/PLTV/3/224/3221227756/index.m3u8
天津卫视,http://223.110.236.24/ott.js.chinamobile.com/PLTV/3/224/3221228239/index.m3u8
天津卫视,http://223.110.245.164/ott.js.chinamobile.com/PLTV/3/224/3221227407/index.m3u8
安徽卫视,http://183.207.249.173/ott.js.chinamobile.com/PLTV/3/224/3221225634/index.m3u8
安徽卫视,http://223.110.235.18/ott.js.chinamobile.com/PLTV/3/224/3221227653/index.m3u8
安徽卫视,http://223.110.235.23/ott.js.chinamobile.com/PLTV/3/224/3221227759/index.m3u8
安徽卫视,http://223.110.236.23/ott.js.chinamobile.com/PLTV/3/224/3221228153/index.m3u8
安徽卫视,http://183.207.249.135/ott.js.chinamobile.com/PLTV/3/224/3221227558/index.m3u8
山东卫视,http://183.207.249.176/ott.js.chinamobile.com/PLTV/3/224/3221227310/index.m3u8
山东卫视,http://223.110.235.7/ott.js.chinamobile.com/PLTV/3/224/3221227621/index.m3u8
山东卫视,http://223.110.236.7/ott.js.chinamobile.com/PLTV/3/224/3221227671/index.m3u8
山东卫视,http://223.110.235.2/ott.js.chinamobile.com/PLTV/3/224/3221227697/index.m3u8
山东卫视,http://223.110.235.10/ott.js.chinamobile.com/PLTV/3/224/3221228124/index.m3u8
山东卫视,http://223.110.245.148/ott.js.chinamobile.com/PLTV/3/224/3221227258/index.m3u8
山东卫视,http://183.207.248.135/ott.js.chinamobile.com/PLTV/3/224/3221227517/index.m3u8
广东卫视,http://183.207.248.136/ott.js.chinamobile.com/PLTV/3/224/3221227249/index.m3u8
广东卫视,http://223.110.235.7/ott.js.chinamobile.com/PLTV/3/224/3221227591/index.m3u8
广东卫视,http://223.110.245.141/ott.js.chinamobile.com/PLTV/3/224/3221227673/index.m3u8
广东卫视,http://223.110.235.3/ott.js.chinamobile.com/PLTV/3/224/3221227691/index.m3u8
广东卫视,http://223.110.236.8/ott.js.chinamobile.com/PLTV/3/224/3221228230/index.m3u8
广东卫视,http://183.207.249.140/ott.js.chinamobile.com/PLTV/3/224/3221227445/index.m3u8
广东卫视,http://223.110.235.3/ott.js.chinamobile.com/PLTV/3/224/3221227476/index.m3u8
广西卫视,http://223.110.235.27/ott.js.chinamobile.com/PLTV/3/224/3221228183/index.m3u8
江苏卫视,http://183.207.249.135/ott.js.chinamobile.com/PLTV/3/224/3221227402/index.m3u8
江苏卫视,http://223.110.235.16/ott.js.chinamobile.com/PLTV/3/224/3221227736/index.m3u8
江苏卫视,http://223.110.235.16/ott.js.chinamobile.com/PLTV/3/224/3221227739/index.m3u8
江苏卫视,http://223.110.235.16/ott.js.chinamobile.com/PLTV/3/224/3221227792/index.m3u8
江苏卫视,http://223.110.236.6/ott.js.chinamobile.com/PLTV/3/224/3221227255/index.m3u8
江苏卫视,http://223.110.236.5/ott.js.chinamobile.com/PLTV/3/224/3221227561/index.m3u8
江苏卫视,http://223.110.243.158/ott.js.chinamobile.com/PLTV/3/224/3221227668/index.m3u8
江苏卫视,http://223.110.235.3/ott.js.chinamobile.com/PLTV/3/224/3221227689/index.m3u8
江苏卫视,http://183.207.248.172/ott.js.chinamobile.com/PLTV/3/224/3221227185/index.m3u8
江苏卫视,http://223.110.235.24/ott.js.chinamobile.com/PLTV/3/224/3221228099/index.m3u8
江苏卫视,http://223.110.236.24/ott.js.chinamobile.com/PLTV/3/224/3221228097/index.m3u8
江西卫视,http://223.110.245.145/ott.js.chinamobile.com/PLTV/3/224/3221227738/index.m3u8
江西卫视,http://223.110.236.20/ott.js.chinamobile.com/PLTV/3/224/3221228109/index.m3u8
河北卫视,http://223.110.236.9/ott.js.chinamobile.com/PLTV/3/224/3221228106/index.m3u8
河南卫视,http://223.110.236.9/ott.js.chinamobile.com/PLTV/3/224/3221228221/index.m3u8
浙江卫视,http://223.110.235.2/ott.js.chinamobile.com/PLTV/3/224/3221227393/index.m3u8
浙江卫视,http://183.207.249.133/ott.js.chinamobile.com/PLTV/3/224/3221227215/index.m3u8
浙江卫视,http://223.110.235.13/ott.js.chinamobile.com/PLTV/3/224/3221227744/index.m3u8
浙江卫视,http://223.110.235.2/ott.js.chinamobile.com/PLTV/3/224/3221227692/index.m3u8
浙江卫视,http://223.110.235.10/ott.js.chinamobile.com/PLTV/3/224/3221228147/index.m3u8
浙江卫视,http://183.207.248.139/ott.js.chinamobile.com/PLTV/3/224/3221225544/index.m3u8
浙江卫视,http://223.110.236.26/ott.js.chinamobile.com/PLTV/3/224/3221228204/index.m3u8
浙江卫视,http://183.207.248.170/ott.js.chinamobile.com/PLTV/3/224/3221227491/index.m3u8
海南卫视,http://223.110.236.26/ott.js.chinamobile.com/PLTV/3/224/3221228139/index.m3u8
深圳卫视,http://223.110.236.20/ott.js.chinamobile.com/PLTV/3/224/3221227624/index.m3u8
深圳卫视,http://223.110.245.155/ott.js.chinamobile.com/PLTV/3/224/3221227677/index.m3u8
深圳卫视,http://223.110.235.3/ott.js.chinamobile.com/PLTV/3/224/3221227695/index.m3u8
深圳卫视,http://223.110.235.24/ott.js.chinamobile.com/PLTV/3/224/3221228236/index.m3u8
深圳卫视,http://183.207.248.139/ott.js.chinamobile.com/PLTV/3/224/3221227442/index.m3u8
深圳卫视,http://183.207.248.142/ott.js.chinamobile.com/PLTV/3/224/3221227217/index.m3u8
深圳卫视,http://183.207.248.166/ott.js.chinamobile.com/PLTV/3/224/3221227555/index.m3u8
湖北卫视,http://223.110.235.10/ott.js.chinamobile.com/PLTV/3/224/3221227377/index.m3u8
湖北卫视,http://223.110.236.20/ott.js.chinamobile.com/PLTV/3/224/3221227565/index.m3u8
湖北卫视,http://223.110.236.3/ott.js.chinamobile.com/PLTV/3/224/3221227665/index.m3u8
湖北卫视,http://183.207.248.174/ott.js.chinamobile.com/PLTV/3/224/3221227703/index.m3u8
湖北卫视,http://223.110.236.5/ott.js.chinamobile.com/PLTV/3/224/3221228159/index.m3u8
湖北卫视,http://183.207.248.134/ott.js.chinamobile.com/PLTV/3/224/3221227495/index.m3u8
湖北卫视,http://183.207.249.143/ott.js.chinamobile.com/PLTV/3/224/3221227479/index.m3u8
湖南卫视,http://223.110.235.10/ott.js.chinamobile.com/PLTV/3/224/3221227320/index.m3u8
湖南卫视,http://183.207.249.136/ott.js.chinamobile.com/PLTV/3/224/3221227220/index.m3u8
湖南卫视,http://223.110.235.13/ott.js.chinamobile.com/PLTV/3/224/3221227735/index.m3u8
湖南卫视,http://183.207.249.176/ott.js.chinamobile.com/PLTV/3/224/3221227698/index.m3u8
湖南卫视,http://223.110.236.24/ott.js.chinamobile.com/PLTV/3/224/3221228227/index.m3u8
湖南卫视,http://223.110.236.10/ott.js.chinamobile.com/PLTV/3/224/3221227191/index.m3u8
湖南卫视,http://183.207.248.133/ott.js.chinamobile.com/PLTV/3/224/3221227404/index.m3u8
湖南卫视,http://223.110.235.23/ott.js.chinamobile.com/PLTV/3/224/3221227482/index.m3u8
甘肃卫视,http://223.110.236.16/ott.js.chinamobile.com/PLTV/3/224/3221228166/index.m3u8
贵州卫视,http://223.110.235.8/ott.js.chinamobile.com/PLTV/3/224/3221228136/index.m3u8
辽宁卫视,http://183.207.248.166/ott.js.chinamobile.com/PLTV/3/224/3221227380/index.m3u8
辽宁卫视,http://223.110.235.13/ott.js.chinamobile.com/PLTV/3/224/3221227676/index.m3u8
辽宁卫视,http://223.110.235.3/ott.js.chinamobile.com/PLTV/3/224/3221227700/index.m3u8
辽宁卫视,http://223.110.235.22/ott.js.chinamobile.com/PLTV/3/224/3221228162/index.m3u8
辽宁卫视,http://183.207.248.165/ott.js.chinamobile.com/PLTV/3/224/3221227410/index.m3u8
辽宁卫视,http://183.207.248.172/ott.js.chinamobile.com/PLTV/3/224/3221227485/index.m3u8
重庆卫视,http://223.110.245.145/ott.js.chinamobile.com/PLTV/3/224/3221227729/index.m3u8
重庆卫视,http://223.110.235.8/ott.js.chinamobile.com/PLTV/3/224/3221228133/index.m3u8
黑龙江卫视,http://223.110.245.163/ott.js.chinamobile.com/PLTV/3/224/3221227252/index.m3u8
黑龙江卫视,http://183.207.249.176/ott.js.chinamobile.com/PLTV/3/224/3221227323/index.m3u8
黑龙江卫视,http://223.110.235.13/ott.js.chinamobile.com/PLTV/3/224/3221227662/index.m3u8
